"(Intercept)","DOY","glacier_len_norm","noise_4kHz","runoff_racmo","site","temp_deep","temp_shallow","velocity","year","DOY:runoff_racmo","DOY:temp_deep","DOY:temp_shallow","df","logLik","AICc","delta","weight"
9.12296831294884,-0.0411828330669478,NA,NA,-0.0084718072500799,NA,NA,NA,2.83760712375799e-05,"+",NA,NA,NA,5,-179.964979166766,370.092559959548,2.0075629033455,0.0103004445472278
9.17147206223604,-0.0411927708944614,-0.165494132533157,NA,-0.00835401601761731,NA,NA,NA,NA,"+",NA,NA,NA,5,-179.968302355434,370.099206336885,2.01420928068308,0.0102662710405798
9.11392567963646,-0.0409212426125448,NA,NA,-0.00932996632816705,NA,NA,NA,NA,"+",4.54265255011382e-06,NA,NA,5,-179.988297222272,370.139196070559,2.05419901435744,0.0100630369088582
9.56199945109696,-0.0416938673999844,NA,NA,-0.00853188770679413,"+",NA,NA,NA,"+",NA,NA,NA,6,-179.061712442107,370.351685753779,2.26668869757737,0.00904872765403185
27.4048173524826,-0.0442723805916518,NA,NA,-0.0114766832965285,"+",2.79454130209798,NA,-0.00614889921993314,"+",NA,NA,NA,8,-177.006539866218,370.406522355387,2.3215252991846,0.0088039972940513
11.2506708392908,-0.0710606294717421,NA,0.048970805500191,-0.00668120103954701,"+",-21.6219105784928,NA,NA,"+",NA,0.0924134409793796,NA,9,-175.99139153172,370.475933748371,2.39093669216908,0.0085036897693454
56.180720693539,-0.0559153553700812,NA,NA,-0.0109115580939298,"+",2.33573174509238,NA,-0.014526080483943,NA,NA,NA,NA,7,-178.087173954967,370.47952502165,2.39452796544788,0.00848843393349351
2.5989598609956,-0.0336104387379514,NA,0.0356421464316772,-0.0106546450364194,"+",2.66512931797633,NA,NA,"+",NA,NA,NA,8,-177.058080676679,370.509603976308,2.42460692010627,0.00836172751123084
13.8873389575418,-0.0900197288169462,NA,0.076580688719635,NA,NA,-37.8095590743219,NA,9.88904065840461e-05,"+",NA,0.148217165409177,NA,7,-178.157200602836,370.619578317388,2.53458126118613,0.00791435243683127
18.1510561613353,-0.0784614241036116,1.21330139048653,NA,-0.00746742556244902,"+",-23.7817537683471,NA,NA,"+",NA,0.10106480246684,NA,9,-176.15213878094,370.797428246811,2.71243119060847,0.00724095360120431
