"(Intercept)","DOY","I(DOY^2)","glacier_len_norm","ice_cover_percent","noise_4kHz","runoff_racmo","site","temp_surf","I(temp_surf^2)","velocity","year","df","logLik","AICc","delta","weight"
9.16604410786198,NA,-8.38774916303015e-05,NA,-0.336218433802676,-0.0367178575060455,-0.00788681122401841,"+",1.26733295854663,-2.61478833477775,NA,"+",10,-177.899078158058,376.280612456467,12.1354794704541,0.000152307376656596
35.4006448847084,NA,-9.24086466894205e-05,NA,-0.366448604593628,-0.0113003864668161,NA,"+",NA,-5.11560476795862,-0.00929916272885026,"+",9,-178.944129748651,376.282132582641,12.1369995966275,0.000152191657424294
4.68746450855449,NA,-7.03525085003835e-05,0.65010107480953,-0.329568833033379,NA,NA,"+",0.10073535189093,-5.12149169826997,NA,NA,8,-179.98912905234,376.29266858503,12.1475355990167,0.000151392019686738
6.24458674220121,NA,-7.33820825275457e-05,NA,-0.358300339823362,-0.0145309210322058,NA,"+",NA,-5.12006003828576,NA,"+",8,-180.001577401716,376.317565283782,12.1724322977691,0.000149519120370949
11.1802729762763,NA,-7.51825875488752e-05,NA,-0.299498450315828,NA,NA,"+",-0.0882689889545262,-4.42819925274688,-0.00216404982229235,NA,8,-180.005474265503,376.325359011355,12.1802260253424,0.000148937598516984
5.28701701291825,NA,-8.06126438714352e-05,0.673532547841615,-0.300990785828741,NA,-0.00440299254706188,"+",NA,-3.90828677965103,NA,"+",9,-178.980120180872,376.354113447084,12.2089804610711,0.000146811609737656
37.2577372408954,NA,-0.000102603162821926,NA,-0.321536420447009,-0.0205122818693401,-0.00450464957651136,"+",NA,-3.53963180738293,-0.0094610307453076,"+",10,-177.945655881131,376.373767902614,12.2286349166008,0.000145375924567007
58.6011216679537,-0.0593537767523087,NA,1.70115434597182,-0.334780596211613,NA,-0.00501203696579191,"+",NA,-4.74973087510171,-0.0141808946662428,"+",10,-177.963806612237,376.410069364826,12.2649363788125,0.000142761048000301
-49.9019478598136,0.404847109570363,-0.000821583284194199,-0.924137408803639,-0.362725933081398,NA,0.00218551040028386,NA,NA,NA,-0.000240986185468179,NA,7,-181.08303567771,376.410080070018,12.2649470840049,0.000142760283860105
7.55162407891936,NA,-8.32083552122253e-05,NA,-0.313881062317537,-0.0234209155355822,-0.00452311563395328,"+",NA,-3.51485728385814,NA,"+",9,-179.011954698313,376.417782481965,12.2726494959524,0.000142211541939406
12.8663630112438,-0.0383153029400619,NA,NA,-0.309973179791045,NA,NA,"+",NA,-4.74677554151933,-0.00109140320447616,NA,7,-181.090041715972,376.424092146542,12.2789591605287,0.000141763595344867
10.8082024009339,-0.0380757935395606,NA,NA,-0.333173019276167,-0.0124510129495808,NA,"+",NA,-4.9445332238344,NA,NA,7,-181.096406922906,376.436822560408,12.2916895743951,0.000140864106478246
10.0539721358902,-0.0425548917794671,NA,NA,-0.251716363375483,NA,-0.0066585833818004,NA,NA,-1.46290709261327,NA,"+",6,-182.131074617075,376.444757929803,12.2996249437895,0.000140306309431757
37.606223043105,NA,-0.000102712400120427,NA,-0.344050853478525,-0.033328357203608,-0.00773638063818782,"+",1.21276590065362,-2.68563462670953,-0.00907628541100081,"+",11,-176.933976499556,376.448172779332,12.3030397933194,0.000140066951365444
7.23236964624734,NA,-8.16438473918619e-05,0.525747599648207,-0.348097197727144,-0.0175774212945899,-0.00357314308796675,"+",NA,-4.48406688746148,NA,NA,9,-179.031028744855,376.455930575048,12.3107975890352,0.00013952469831981
6.28538840368338,NA,-7.22025329885399e-05,NA,-0.337115297648138,-0.0171615468189542,NA,"+",0.0849523513708051,-4.7534959296981,NA,NA,8,-180.071194925527,376.456800331404,12.3116673453908,0.000139464035264722
41.8222801500844,NA,-0.000104989410430285,0.942233580950486,-0.255635305567941,-0.0288095518270001,-0.00779421092977424,"+",NA,NA,-0.0107936757215688,NA,9,-179.03298570201,376.459844489359,12.3147115033462,0.000139251921456432
6.01122528351406,NA,-8.13382925705687e-05,NA,-0.256763444516796,-0.0159432221874853,-0.00642620588726476,NA,NA,-1.17234684487673,NA,"+",7,-181.121117252131,376.48624321886,12.3411102328466,0.000137425961816923
53.7248013245775,NA,-0.000113764760669627,1.98929966986794,-0.362804340325582,-0.0280947922327245,-0.00835044687617518,"+",1.34439455879283,-3.49066886832725,-0.0141209057724414,"+",12,-175.90295071604,376.493126101683,12.3479931156698,0.00013695383129164
9.38952831729223,-0.0373392253043104,NA,NA,-0.321509925668464,NA,NA,"+",0.0154494177064673,-4.93225978860213,NA,NA,7,-181.132876254208,376.509761223014,12.3646282370008,0.000135819433741683
4.42147019368277,NA,-7.91523071708171e-05,NA,-0.24851123203989,NA,-0.00604859014116937,NA,NA,-1.39407786881871,-3.4891904432514e-05,"+",7,-181.151550170659,376.547109055914,12.4019760699011,0.000133306687410184
6.6425842657876,NA,-8.17418503911176e-05,NA,-0.247153969543073,-0.0229203452673639,-0.00818701612048262,NA,0.362955397110364,NA,NA,"+",7,-181.154512168917,376.55303305243,12.4079000664172,0.000132912417436035
4.35547502021576,NA,-7.95002355258429e-05,NA,-0.24331269887825,NA,-0.00686249341243476,NA,0.147960065232032,-1.02369765379544,NA,"+",7,-181.16101555836,376.566039831318,12.4209068453046,0.000132050840844233
4.35800609499306,NA,-7.94383292878382e-05,0.0636179783735939,-0.246437332736774,NA,-0.0062909947001877,NA,NA,-1.29400647908008,NA,"+",7,-181.181483551988,376.606975818572,12.461842832559,0.000129375497926017
9.70485920187629,NA,-8.06833404605422e-05,0.210770356296139,-0.347072917662919,-0.0441529227516019,-0.0106430063006447,"+",1.96230047311192,NA,NA,NA,9,-179.106851094059,376.607575273458,12.4624422874445,0.000129336726349612
49.6453721794832,NA,-0.000109990157076895,1.4853720297732,-0.302312981108835,-0.0407417259497846,-0.0115705836491355,"+",1.65427568802769,NA,-0.0126513414517896,"+",11,-177.041053272883,376.662326325987,12.5171933399736,0.000125844089898978
30.2440937949694,-0.0506900150861967,NA,NA,-0.288606842423686,-0.0219334935652175,-0.0059315780583995,"+",NA,-3.06379918003457,-0.00510122927477465,NA,9,-179.154738095404,376.703349276147,12.5582162901338,0.000123289134513139
4.31342756597998,NA,-7.84885622093986e-05,NA,-0.231126517629731,NA,-0.00803744087959344,NA,0.427797041252812,NA,-4.68963821725472e-05,"+",7,-181.235697475821,376.715403666239,12.5702706802255,0.000122548281727269
9.87437124813397,-0.0422779697905416,NA,NA,-0.233164653693325,NA,-0.00865644753363128,NA,0.388972637429619,NA,NA,"+",6,-182.270847066503,376.724302828658,12.5791698426448,0.000122004204551081
10.4193001788053,-0.0404923886513113,NA,0.308930955422317,-0.305064907036819,NA,-0.0109679829677638,"+",1.9205997568774,NA,NA,NA,8,-180.218684826056,376.751780132462,12.6066471464485,0.000120339492885756
44.0471360097263,NA,-0.000104421766490503,1.04632053562119,-0.242236704875577,NA,-0.00754469442585459,"+",NA,NA,-0.0124607917739434,"+",9,-179.187723151752,376.769319388844,12.6241864028311,0.000119288774216353
48.4226915105223,NA,-9.89823698754115e-05,1.62723310635421,-0.391876405321317,NA,NA,"+",0.251897002722226,-6.0355380506215,-0.0136261144162267,"+",10,-178.144630611445,376.771717363242,12.6265843772288,0.000119145834211847
28.6978145103401,-0.0501747794376664,NA,NA,-0.301618883358174,-0.0353869969356241,-0.00931552888625211,"+",1.20026872578264,-2.07932309305404,-0.00412952995980886,NA,10,-178.15611898776,376.794694115871,12.6495611298578,0.000117784874608721
54.089390916704,-0.0527347240924372,NA,1.53237722979706,-0.390739330350535,NA,NA,"+",NA,-6.37182185619129,-0.0131952404179883,"+",9,-179.205784489987,376.805442065313,12.6603090793003,0.000117153599417733
-39.8554803957159,0.332079888028338,-0.000689564219760741,-0.981829113777145,-0.358665608682243,-0.00109588594771299,NA,NA,NA,NA,-0.000220678477388438,NA,7,-181.283567095067,376.811142904732,12.6660099187188,0.000116820137967269
4.23252936548936,NA,-7.89937181931362e-05,0.0568646994350279,-0.229717336679656,NA,-0.00807306998122619,NA,0.347301826994171,NA,NA,"+",7,-181.285651327217,376.815311369031,12.6701783830176,0.000116576911238549
51.7352350700144,NA,-0.00011206469931858,1.69025712837724,-0.337991542381607,-0.0150296124674176,-0.0046401378745113,"+",NA,-4.30513745227177,-0.0140440002425078,"+",11,-177.128502252785,376.83722428579,12.6920912997767,0.000115306612855844
-63.5200281246283,0.505066763518504,-0.00102296575952521,NA,NA,NA,-0.002102483518858,NA,0.11831365982298,1.76017320157904,-6.14726517440524e-05,"+",8,-180.28700406029,376.888418600929,12.7432856149163,0.000112392546337461
49.0040138618328,NA,-0.000100911366660527,1.58337376533578,-0.384519150188987,-0.00583153352296066,NA,"+",NA,-5.92139661984293,-0.0136200682218974,"+",10,-178.20491901801,376.89229417637,12.7471611903572,0.000112174964323263
-44.8038525560009,0.363679824289448,-0.000743950198350194,-0.203461576363324,-0.3847669392494,NA,0.00101761454658657,NA,NA,NA,NA,NA,6,-182.358999896453,376.900608488558,12.755475502545,0.000111709603445839
41.7749124404373,-0.0541819263742304,NA,1.25119768280348,-0.276767883308719,-0.0396500275925935,-0.0124345818644599,"+",1.61205328634203,NA,-0.00794137969537753,NA,10,-178.214052082707,376.910560305766,12.7654273197529,0.000111155127324219
-64.058959543815,0.507715152256891,-0.00102786021136545,NA,NA,0.00163663609897301,-0.00168781783458257,NA,NA,1.60339082928271,-5.45978711130413e-05,"+",8,-180.298493820609,376.911398121568,12.766265135555,0.000111108573314738
-64.111105262744,0.509349649652686,-0.00103114602047109,0.0129634672874941,NA,NA,-0.00170444642613143,NA,NA,1.62765197460363,-5.22037871917448e-05,"+",8,-180.299063998411,376.912538477172,12.7674054911592,0.000111045239730031
6.41324447882353,NA,-8.18388157205296e-05,-0.135589067358508,-0.242886785227113,-0.0215700820800527,-0.00727330454015474,NA,NA,NA,NA,"+",7,-181.340116800569,376.924242315734,12.779109329721,0.000110397309616991
6.32489208696925,NA,-8.15497900309367e-05,NA,-0.242424751138152,-0.0208883113440566,-0.00729027593903135,NA,NA,NA,7.07264189065334e-06,"+",7,-181.352450478024,376.948909670645,12.8037766846321,0.000109044067190535
-45.6583191421199,0.373900155967048,-0.000762787585912691,NA,-0.395609729213744,-0.00505309459738501,0.0012483051608458,NA,NA,NA,NA,NA,6,-182.386771016691,376.956150729034,12.8110177430214,0.000108649983787479
-45.8777031277088,0.371559802778578,-0.000757832849054182,NA,-0.389534099059093,NA,0.00119213087511354,NA,0.00865693056099543,NA,NA,NA,6,-182.392996419732,376.968601535115,12.8234685491021,0.000107975694885866
-39.5658130761503,0.330373790824582,-0.000684502003152372,-0.27540172199748,-0.388345431305737,-0.00625927792376931,NA,NA,NA,NA,NA,NA,6,-182.396288815171,376.975186325995,12.8300533399816,0.000107620780779816
-40.5446979183093,0.33264530547224,-0.000687508112331569,-0.22978762923985,-0.382456037449024,NA,NA,NA,0.0615740049062591,NA,NA,NA,6,-182.398597876311,376.979804448275,12.8346714622621,0.000107372564500604
44.2179235415542,-0.0537749005763838,NA,0.893629795474757,-0.234678811848914,NA,-0.00831504586413703,"+",NA,NA,-0.0102555464511156,NA,8,-180.340500409746,376.99541129984,12.8502783138274,0.000106537951318642
-63.7213272169235,0.505741217265124,-0.00102457117394512,0.219175534897262,NA,NA,-0.00222214128934933,NA,0.0391130634060024,1.79076546759532,NA,"+",8,-180.344543308221,377.003497096792,12.8583641107789,0.000106108098708374
-42.0062901760361,0.345899586446065,-0.000714768215242315,NA,-0.400774305951093,NA,0.00302668228787159,NA,-0.472307080486295,-2.53885153939868,NA,NA,7,-181.380724621586,377.005457957768,12.8603249717553,0.000106004118074577
-63.9189074025201,0.507455095197088,-0.0010278676415224,0.209197377904358,NA,-0.000307965085741833,-0.00207129697946204,NA,NA,1.74423449964391,NA,"+",8,-180.345987950249,377.006386380847,12.8612533948336,0.000105954921159542
53.2554040580815,-0.0563739820376218,NA,1.47977988517347,-0.272267773867188,NA,-0.012106382625234,"+",1.66883983225793,NA,-0.0127816205389006,"+",10,-178.265725402754,377.01390694586,12.8687739598468,0.00010555724887167
-44.6459613456832,0.368651778403557,-0.000757052297625116,-0.64130972432183,-0.376423199336126,NA,0.00248744845754846,NA,NA,-1.94458494345959,-0.000240480778934273,NA,8,-180.355659633284,377.025729746917,12.8805967609036,0.000104935098396972
11.6271226147399,-0.0432174358336591,NA,NA,-0.242846196450118,-0.016556578355462,-0.00770844053826157,NA,NA,NA,NA,"+",6,-182.430582332738,377.043773361128,12.8986403751153,0.000103992651858411
37.4759676109595,NA,-0.000102049695352247,NA,-0.259724683916267,-0.0299103328690197,-0.00726569994933863,"+",NA,NA,-0.00944594417237729,"+",9,-179.329025813019,377.051924711377,12.9067917253644,0.000103569674139489
-40.7000190697205,0.337493072289847,-0.000696310709084009,NA,-0.393357770836414,-0.00470770803746752,NA,NA,0.111670730544154,NA,NA,NA,6,-182.434695214108,377.051999123869,12.9068661378561,0.000103565820772419
-62.8453035561039,0.50117925873307,-0.00101672008922633,NA,NA,-0.00261047951512015,-0.00226711777710763,NA,0.0129924404574966,1.83049309358558,NA,"+",8,-180.374184555986,377.062779592321,12.9176466063076,0.00010300907857409
7.90398243610826,NA,-8.35925536428581e-05,NA,-0.252102389051186,-0.0329557114650304,-0.00736861243754606,"+",NA,NA,NA,"+",8,-180.377453155981,377.069316792312,12.9241838062991,0.000102672932762677
-69.8907666939074,0.548840808934639,-0.00110239775572409,NA,NA,0.00396865356876015,NA,NA,-0.0920101842500086,1.3669422847609,-6.84605316278623e-05,"+",8,-180.39532527385,377.10506102805,12.9599280420371,0.000100854250269249
-70.0386629524982,0.553000419659879,-0.00111069715859688,-0.0120792911955381,NA,NA,NA,NA,-0.0905615483565346,1.42219312972632,-6.73739275726847e-05,"+",8,-180.39907184614,377.11255417263,12.9674211866172,0.000100477099482365
-70.6543948868992,0.554674244158934,-0.00111271498944211,-0.0148158297158864,NA,0.00378713050749756,NA,NA,NA,1.44749103061808,-8.02386093624461e-05,"+",8,-180.406261285787,377.126933051923,12.9818000659101,9.97573159602291e-05
4.17546039370153,NA,-7.9151656072902e-05,-0.149567032966599,-0.226806542496852,NA,-0.00711425088058494,NA,NA,NA,-1.88172507375897e-05,"+",7,-181.450495505846,377.144999726289,12.9998667402755,9.88602324180233e-05
-6.73414241353455,0.320833829722849,-0.000704303832282905,NA,NA,NA,-0.00461573094413069,"+",0.76541584451749,NA,-0.00988299739242694,NA,8,-180.418712298741,377.151835077832,13.0067020918192,9.85229369085486e-05
-49.7588650334746,0.403313766399666,-0.000815857033721542,NA,-0.384671302154885,NA,0.00147105852662936,NA,0.340337720083369,NA,-0.000192990848443864,NA,7,-181.457254343238,377.158517401073,13.0133844150602,9.81943051646198e-05
14.8374080353787,-0.0446281067482289,NA,0.934064040531985,-0.351998802006177,-0.030061748940585,-0.00855141144782348,"+",1.43182237909333,-3.36032586409291,NA,NA,10,-178.340462853528,377.163381847407,13.0182488613937,9.79557649099142e-05
9.78516091816524,-0.0423532212437999,NA,-0.102887341484228,-0.230056673965364,NA,-0.00766727496859766,NA,NA,NA,NA,"+",6,-182.494407262975,377.171423221601,13.0262902355882,9.75627061425083e-05
9.75909401351674,-0.0422264220167473,NA,NA,-0.230217857956339,NA,-0.00765510992668001,NA,NA,NA,1.13441719118414e-06,"+",6,-182.502473617594,377.187555930841,13.0424229448279,9.67788962513082e-05
42.3393537819752,-0.0538659356431817,NA,NA,-0.256287071576106,-0.0264814475663027,-0.00798437067498469,"+",NA,NA,-0.00882349712208752,NA,8,-180.441344035689,377.197098551726,13.0519655657134,9.63182339483449e-05
-70.5432162689163,0.553986710240965,-0.00111249568344123,0.230087307459739,NA,0.00234856946541556,NA,NA,-0.194404733446905,1.39991974375692,NA,"+",8,-180.469351229803,377.253112939955,13.1079799539424,9.36580564130081e-05
15.4128833816107,-0.0448399649942216,NA,NA,-0.294717762545862,-0.0427248424053996,-0.0113863130251195,"+",1.64299050129309,NA,NA,"+",9,-179.441442612545,377.27675831043,13.1316253244167,9.25572865416946e-05
-43.8741688650141,0.358861915718203,-0.000734448137480582,NA,-0.380026419720815,0.00189681737257061,NA,NA,0.456899996180906,NA,-0.000190973221484482,NA,7,-181.527370730914,377.298750176426,13.1536171904125,9.15451079430066e-05
9.78799840348813,NA,-8.41844106778116e-05,0.602152053142154,-0.290176456612183,-0.0449011527049367,-0.0111122794974302,"+",1.62170622783678,NA,NA,"+",10,-178.470685236619,377.42382661359,13.2786936275768,8.59953835538936e-05
3.61862479763612,NA,-6.54748765577333e-05,NA,-0.296493079544277,NA,NA,NA,NA,-2.89223571342655,NA,"+",5,-183.654087663458,377.438327170734,13.2931941847208,8.53741478545099e-05
-35.6062960428659,0.30245217825233,-0.00063627601817805,-0.721604673998608,-0.369702191649542,NA,NA,NA,0.183377256180052,-1.656384983136,-0.000238814285916549,NA,8,-180.564316395084,377.443043270517,13.297910284504,8.51730685251377e-05
-52.4258698560376,0.420964363328257,-0.000848530237418267,NA,-0.383178342721544,0.00162919766348218,0.00251119691218827,NA,NA,NA,-0.000164017823622005,NA,7,-181.601344247795,377.446697210187,13.3015642241736,8.50176019578118e-05
-46.0344195034643,0.370877093460003,-0.000758511823545427,NA,-0.382617931209945,0.00969489470557975,0.00274244696920996,NA,NA,-2.25425649099271,-0.000193210246951026,NA,8,-180.570647031713,377.455704543775,13.3105715577622,8.46355719206657e-05
-45.9787207389976,0.377899115127617,-0.000772943956187944,NA,-0.394741220624932,NA,0.0031765853996447,NA,-0.130562666556026,-2.36779708131766,-0.00017993389393896,NA,8,-180.577358928661,377.469128337671,13.323995351658,8.406940882344e-05
-39.3785215703463,0.32617665098175,-0.00067689554231495,0.0698450673590928,-0.400399665908603,NA,0.00133589518616157,NA,NA,-1.95776831225431,NA,NA,7,-181.621783199471,377.487575113539,13.3424421275256,8.32975690132412e-05
-39.155935141563,0.323883175253392,-0.000672748607361732,NA,-0.397556329777157,0.000802791720361877,0.00125844843047118,NA,NA,-1.92250234386254,NA,NA,7,-181.625366023488,377.494740761574,13.3496077755608,8.29996624744004e-05
-34.3239490615312,0.28772283049743,-0.000609275562785082,-0.706845845560071,-0.362349733648689,0.00684855065904853,NA,NA,NA,-1.90204150732514,-0.000220319548739093,NA,8,-180.598064216024,377.510538912398,13.3654059263849,8.23466244750838e-05
41.6959880112809,-0.0528162865911148,NA,NA,-0.239673097729266,NA,-0.00776179070460868,"+",NA,NA,-0.00955683022362694,"+",8,-180.599256435945,377.51292335224,13.367790366227,8.22485076889686e-05
44.9915668701598,-0.0547078594118023,NA,NA,-0.300735462417908,-0.0399421835264382,-0.0114566368389457,"+",1.6115717450038,NA,-0.00900927455941895,"+",10,-178.517490590621,377.517437321593,13.3723043355795,8.20630833960786e-05
3.97074999945075,NA,-6.58964468792053e-05,NA,-0.36726024777986,NA,NA,NA,NA,-3.33730527873173,NA,NA,4,-184.719931632991,377.526443352562,13.3813103665486,8.16943828160632e-05
4.33921112873243,NA,-7.28819754093206e-05,NA,-0.309626863350644,NA,-0.00511683939289266,"+",NA,NA,NA,NA,6,-182.674080143611,377.530768982874,13.385635996861,8.15178839027965e-05
-31.7387648766655,0.270724239343,-0.000577423258987461,-0.0738137129677637,-0.393169999586065,NA,NA,NA,-0.18294117655836,-2.11321408668056,NA,NA,7,-181.645703292732,377.535415300062,13.3902823140486,8.13287247387004e-05
-32.0213153323593,0.269716888911247,-0.00057494455260875,NA,-0.390248581441075,0.00402860921235694,NA,NA,-0.177852421125055,-2.16102373190201,NA,NA,7,-181.645976412973,377.535961540543,13.3908285545298,8.13065152509034e-05
11.4233000165248,-0.042913711935208,NA,1.03240477905011,-0.321933437519332,NA,-0.00822389432610741,"+",1.32668809174412,-3.44826436649969,NA,"+",10,-178.529287013799,377.541030167949,13.3958971819362,8.11007199202549e-05
-59.039853149035,0.46296851219042,-0.000944281804211538,NA,NA,0.0136427293854786,-0.000726507188505659,NA,-0.14794246829537,NA,-7.31965301474025e-05,"+",8,-180.614703664743,377.543817809835,13.398684823822,8.0987758780433e-05
-5.56926893778453,0.376156347225459,-0.000813073212585119,0.851334705853069,NA,NA,-0.0025302258551933,"+",NA,NA,-0.0125964517479931,NA,8,-180.615389763363,377.545190007076,13.4000570210628,8.09322122482424e-05
4.43458187588824,NA,-7.95638047227266e-05,0.199036433157784,-0.227117020780596,NA,-0.00728043194038897,"+",NA,NA,NA,"+",8,-180.616242867037,377.546896214424,13.4017632284111,8.08631981229031e-05
10.062475274128,-0.0425304578497534,NA,NA,-0.230840001199151,NA,-0.00767519302763496,"+",NA,NA,NA,"+",7,-181.654717078066,377.553442870729,13.4083098847163,8.05989390792181e-05
-62.0135752579245,0.484540890249015,-0.000983640840628673,0.0107933361632848,NA,0.0138347150303799,NA,NA,-0.208534323256444,NA,-7.38773585243518e-05,"+",8,-180.630014589512,377.574439659373,13.4293066733596,7.97572057898961e-05
-57.6711786582486,0.452822841579581,-0.000925217831891468,0.0038556708736562,NA,0.0140678003574638,-0.00116989000434159,NA,NA,NA,-8.59189503095812e-05,"+",8,-180.637988636433,377.590387753216,13.4452547672033,7.91237470599484e-05
-16.8670616992604,0.41840079630579,-0.000886376216263673,0.845673253640748,NA,NA,NA,"+",NA,-1.21463947842763,-0.0108074148871761,NA,8,-180.656380937646,377.627172355642,13.482039369629,7.768178046136e-05
-33.6844158996081,0.283202487555889,-0.000598892762279469,-0.00575036986353095,-0.393209120114443,0.00190664153387687,NA,NA,NA,-1.91653131798652,NA,NA,7,-181.700027801916,377.64406431843,13.4989313324166,7.70284445043954e-05
-58.3306143454658,0.468452555173244,-0.000956720985647948,-0.0120404373527827,NA,NA,-0.000752729945908425,NA,-0.157802615886722,NA,-6.66519295610409e-05,"+",8,-180.664915892009,377.644242264368,13.4991092783551,7.70215913598479e-05
34.7741755351917,-0.0524270987412429,NA,1.48981702268728,-0.29749082529646,-0.032393193479727,-0.0101152001035192,"+",1.29656009346706,-2.42300902787377,-0.0059131234411996,NA,11,-177.541605121872,377.663430023963,13.5182970379502,7.62861887931268e-05
14.8481784804359,-0.0447569031350229,NA,NA,-0.342338259095826,-0.0332259021668649,-0.00834866372205539,"+",1.32798329948148,-2.88657302389629,NA,"+",10,-178.60461112969,377.691678399732,13.5465454137187,7.52162818991248e-05
-51.4718269453631,0.420144985145751,-0.000867620871696047,0.628531692554801,NA,NA,-0.00332351711988605,"+",0.541657756478108,NA,NA,"+",9,-179.652478804975,377.698830695288,13.5536977092754,7.49477777511243e-05
-59.0489410595041,0.463204286929315,-0.00094535356768675,0.255096399018323,NA,0.0122109577835924,-0.000839560350347578,NA,-0.247809976205901,NA,NA,"+",8,-180.694917109854,377.704244700057,13.559111714044,7.47451682939215e-05
15.4544932057332,NA,-7.73824839776454e-05,0.881315606530123,-0.315745803987872,-0.0152577308132245,NA,"+",NA,-4.77383177190521,-0.00294961602029712,NA,9,-179.686751453445,377.767375992229,13.6222430062158,7.2422637696674e-05
3.90747180253079,NA,-7.13071595507497e-05,NA,-0.287547973468802,NA,NA,NA,-0.671216767572973,-3.29095152851375,NA,"+",6,-182.792665021489,377.767938738631,13.6228057526178,7.24022627738931e-05
-39.3917301717264,0.396604812027807,-0.000829753279363795,NA,NA,NA,-0.00323206825696696,"+",0.480815829933687,NA,-0.00286445565404775,"+",9,-179.688912155732,377.771697396804,13.626564410791,7.22663228734418e-05
-54.3799712959436,0.439072717831701,-0.000901367141258912,NA,NA,NA,-0.00329080308145536,"+",0.52479354044435,0.852125081954193,NA,"+",9,-179.698685613563,377.791244312465,13.6461113264517,7.1563471254333e-05
-41.0758982761747,0.43790281977913,-0.000909607357445498,0.695045437659638,NA,NA,-0.00197971347700012,"+",NA,NA,-0.0040660615552716,"+",9,-179.703442697932,377.800758481203,13.6556254951901,7.12238462367242e-05
45.2957865913943,-0.0551770161431105,NA,NA,-0.350256190441224,-0.0300445287957718,-0.00837130698199281,"+",1.28354908954139,-2.99866033000121,-0.00925447713913469,"+",11,-177.616121337344,377.812462454908,13.6673294688949,7.0808262406522e-05
-9.15988344706365,0.347015114052133,-0.00075471810674587,NA,NA,NA,-0.00195752519311411,"+",NA,-0.884212845546522,-0.0102318607391954,NA,8,-180.755169992691,377.824750465732,13.6796174797188,7.0374549789763e-05
-20.76382873834,0.449534537691257,-0.000940921656619307,0.768561634529671,NA,0.0199849277749184,NA,"+",NA,NA,-0.0116792427225166,NA,8,-180.755864511006,377.826139502362,13.6810065163486,7.03256903448847e-05
10.6440746215471,-0.0421186832748233,NA,0.669848090917086,-0.257364144553372,NA,-0.0114102021388032,"+",1.62089225418308,NA,NA,"+",9,-179.717299236013,377.828471557365,13.6833385713518,7.02437364454096e-05
62.037043571814,-0.0610226055895935,NA,1.98934869430944,-0.368093771473577,-0.024759207108588,-0.00905736451629709,"+",1.41901695045619,-3.82789695792837,-0.0142494946008527,"+",12,-176.578005430182,377.843235529967,13.6981025439536,6.97271073657237e-05
14.710594323906,NA,-7.70250924474663e-05,0.921378017404243,-0.301071161333423,NA,NA,"+",-0.104322421069985,-4.78238282114286,-0.00321234946108777,NA,9,-179.727706826704,377.849286738748,13.704153752735,6.95164595526972e-05
-22.6540030921247,0.469688172157208,-0.000979655025227776,0.744171222583684,NA,NA,NA,"+",0.279725564222263,NA,-0.0112534592098611,NA,8,-180.768965750906,377.852341982162,13.7072089961487,6.94103457715923e-05
35.6638703882348,-0.0525446554178886,NA,1.2230901486877,-0.285866876165488,-0.0190882711780315,-0.00633421761004191,"+",NA,-3.38286601786088,-0.00672713240928684,NA,10,-178.687144362902,377.856744866154,13.7116118801414,6.92577109913797e-05
9.214855899886,NA,-8.40081478393809e-05,0.930044685243123,-0.338439818420334,-0.0342474777768295,-0.00826490023219341,"+",1.352440412909,-2.93984851074334,NA,"+",11,-177.64176070166,377.863741183539,13.7186081975263,6.90158597912269e-05
-20.8087777687815,0.392013596424879,-0.000830464411683706,NA,NA,0.0218171728809209,NA,"+",NA,-1.15099423681184,-0.00925409097856968,NA,8,-180.776172366212,377.866755212772,13.7216222267594,6.89119302131139e-05
11.099301373884,-0.0431552810349879,NA,0.677549772402877,-0.308212296680528,NA,-0.00470081809703458,"+",NA,-4.19647624542719,NA,"+",9,-179.749215803741,377.89230469282,13.7471717068074,6.8037197358389e-05
-11.2552431127912,0.364558876045311,-0.000784894436748877,NA,NA,0.0165191875159123,-0.00209878834429973,"+",NA,NA,-0.0109440405436337,NA,8,-180.792250653903,377.898911788155,13.7537788021415,6.78128040847971e-05
12.7677173215695,-0.0436638917777274,NA,0.563373139150906,-0.34361556737827,-0.0145646785723156,-0.00411760990539854,"+",NA,-4.60593696468705,NA,NA,9,-179.763686042851,377.921245171041,13.776112185028,6.70597716908063e-05
9.96136373918953,-0.0380276533270944,NA,0.566298902762681,-0.360630890751579,NA,NA,"+",NA,-5.74327299134437,NA,"+",8,-180.812704214917,377.939818910184,13.7946859241708,6.64398792231343e-05
-51.0516982299143,0.415106558452731,-0.000857669681667492,NA,NA,0.000559918203869405,-0.00287935536042086,"+",0.461572416084187,NA,NA,"+",9,-179.774433001331,377.942739088,13.7976061019874,6.63429418782069e-05
4.5116607990046,NA,-7.33757324097993e-05,NA,-0.369579124524074,NA,-0.00315985351962047,NA,NA,-2.78895468173655,NA,NA,5,-183.911277966384,377.952707776585,13.8075747905718,6.60130885487034e-05
44.5899947425902,-0.0549549048916298,NA,NA,-0.326249745327391,-0.0164356677497733,-0.00492893115764873,"+",NA,-3.9067017296936,-0.00956844110182678,"+",10,-178.745428217075,377.973312574502,13.8281795884885,6.53364866697511e-05
4.36662440924521,NA,-6.68784158731663e-05,NA,-0.360510143018325,NA,NA,NA,NA,-3.53359243968994,-0.000158187254756464,NA,5,-183.924166014383,377.978483872584,13.8333508865713,6.51677676636914e-05
