"(Intercept)","glacier_len_norm","ice_cover_percent","noise_4kHz","runoff_racmo","salt_shallow","I(salt_shallow^2)","site","temp_deep","I(temp_deep^2)","temp_shallow","I(temp_shallow^2)","year","ice_cover_percent:salt_shallow","ice_cover_percent:temp_deep","ice_cover_percent:temp_shallow","df","logLik","AICc","delta","weight"
318.54618146538,1.73206015533952,-563.014087644704,NA,NA,-9.67677591735288,NA,NA,16.971604385885,-13.7722108180947,NA,NA,"+",16.9238356398062,-8.58989417127825,NA,9,-161.887573215229,342.42030772078,0,0.0131231762299593
366.454692831488,1.89243292116352,-586.093379780006,NA,-0.00348741303416709,-11.1131389678138,NA,NA,16.1933773437747,-11.6180670514312,NA,NA,"+",17.6236022400198,-9.27529459954878,NA,10,-161.319784467572,343.430935841619,1.01062812083904,0.00791742308237307
-1.10163624518346,NA,-0.253318780054732,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,3,-168.696659864532,343.47753025538,1.05722253459936,0.0077351012795827
238.961440792116,NA,-559.349578315043,NA,NA,-7.25051095608264,NA,NA,4.70986256245425,NA,-1.54979901773728,NA,"+",16.840629282097,-10.0952952295956,NA,8,-163.550016526528,343.614318767341,1.1940110465606,0.00722375081617318
230.595654526534,NA,-480.763899528205,NA,NA,-7.04060899618129,NA,NA,14.9409933310161,-12.1637412474826,NA,NA,"+",14.4553681821529,-7.63291997669199,NA,8,-163.552921118445,343.620127951175,1.19982023039478,0.00720279921060368
390.061241911952,2.17848449338351,-599.569092624895,NA,NA,-11.8180851032682,NA,NA,18.5407584182899,-14.7105164614106,NA,-1.62372397054115,"+",18.0220582390846,-9.15292039732926,NA,10,-161.483681994762,343.758730895999,1.33842317521868,0.00672053831217723
306.814720099588,NA,-581.999815209026,NA,-0.00415640381090673,-9.30588701627134,NA,NA,6.58276395970845,NA,-1.55173254696378,NA,"+",17.5262929650579,-10.7084463413846,NA,9,-162.63242211149,343.910005513302,1.48969779252178,0.0062309633312453
36057.6972912567,1.68807642409236,-549.708491545407,NA,NA,-2141.70195706462,31.7962175378406,NA,18.1043646071933,-14.6829130026917,NA,NA,"+",16.5281504553414,-8.64173870690583,NA,10,-161.690895581569,344.173158069612,1.75285034883211,0.00546276280761782
300.433560110702,1.66775344189489,-593.106039238788,NA,-0.00509209750161611,-9.05577402197924,NA,NA,4.15670692902489,NA,NA,NA,"+",17.859246875907,-10.8312842160042,NA,9,-162.866384489233,344.377930268788,1.95762254800775,0.00493113197341776
268.943670720543,NA,-529.691535380445,NA,NA,-8.19591234538815,NA,NA,12.8029854102838,-8.27409352902184,-1.0702758243366,NA,"+",15.9326880241653,-8.70921044646675,NA,9,-162.878049391636,344.401260073595,1.98095235281505,0.0048739449889556
182.311655797106,NA,-0.230277056169494,NA,NA,-5.5938928998299,NA,NA,14.6879517924939,-12.5785923579017,NA,NA,"+",NA,NA,NA,6,-166.053911859939,344.405696060303,1.98538833952279,0.00486314659117712
88.4869652492938,NA,-0.23027856428477,NA,NA,NA,-0.0833761411413466,NA,14.6819451203063,-12.5738388383024,NA,NA,"+",NA,NA,NA,6,-166.055262506222,344.40839735287,1.98808963208984,0.00485658263409748
330.448513386107,1.71171121970542,-567.468811358374,-0.0186902081759564,NA,-9.98139628880419,NA,NA,17.3632684623323,-14.0443662721732,NA,NA,"+",17.0572830884463,-8.66014236045003,NA,10,-161.815883978302,344.42313486308,2.00282714229928,0.00482092719545514
321.581214204791,1.56553694308995,-569.885466612946,NA,NA,-9.76945836731856,NA,NA,16.0922304545952,-12.3884789445126,-0.331986772514066,NA,"+",17.1325950296426,-8.8139035357135,NA,10,-161.835353154887,344.46207321625,2.04176549546941,0.00472797549520044
347.235535678334,1.20249225867804,-628.052780056399,NA,-0.00482602121426321,-10.4994522264106,NA,NA,6.30014561525941,NA,-1.16746122594104,NA,"+",18.9105618086283,-11.3775942431465,NA,10,-161.936689393594,344.664745693663,2.24443797288285,0.00427233646236508
237.54402669911,1.22376604861105,-0.233466442511774,NA,NA,-7.24934356155453,NA,NA,16.0529134647279,-13.7105232404681,NA,NA,"+",NA,NA,NA,7,-165.15390565623,344.706387824916,2.28608010413546,0.00418430153536259
115.966758950306,1.22358231101681,-0.233465722223837,NA,NA,NA,-0.108062888118198,NA,16.0458782261839,-13.7049273439483,NA,NA,"+",NA,NA,NA,7,-165.155554831939,344.709686176333,2.28937845555231,0.0041774065739779
259.274761565873,0.903392273565942,-590.132405159045,NA,NA,-7.8430074093941,NA,NA,4.25527477272794,NA,-1.24936229009121,NA,"+",17.7653178290409,-10.509455264283,NA,9,-163.135835038656,344.916831367634,2.49652364685357,0.00376639391125862
